start,low,high,open,close,volume,MA,STD,UpperBand,LowerBand,bollingerbands_signal,signal
2025-06-11 23:00:00,3.3565,3.3997,3.3622,3.3954,638848.3,,,,,0,0
2025-06-12 00:00:00,3.3591,3.4,3.3952,3.3852,431269.9,,,,,0,0
2025-06-12 01:00:00,3.3506,3.3852,3.3849,3.3666,415402.4,,,,,0,0
2025-06-12 02:00:00,3.3474,3.3794,3.3663,3.3486,246435.5,,,,,0,0
2025-06-12 03:00:00,3.3223,3.356,3.3498,3.3366,689109.5,,,,,0,0
2025-06-12 04:00:00,3.3141,3.3405,3.336,3.3298,882659.9,,,,,0,0
2025-06-12 05:00:00,3.3118,3.3473,3.3299,3.3411,355613.3,,,,,0,0
2025-06-12 06:00:00,3.3246,3.356,3.3408,3.3462,218491.9,,,,,0,0
2025-06-12 07:00:00,3.3255,3.3559,3.3465,3.3328,393156.4,,,,,0,0
2025-06-12 08:00:00,3.3036,3.3364,3.3327,3.3238,427980.1,,,,,0,0
2025-06-12 09:00:00,3.3119,3.3298,3.3238,3.3128,118332.6,,,,,0,0
2025-06-12 10:00:00,3.2794,3.3159,3.3125,3.294,984067.5,,,,,0,0
2025-06-12 11:00:00,3.2533,3.2975,3.2937,3.2629,506949,,,,,0,0
2025-06-12 12:00:00,3.2495,3.2946,3.263,3.2784,1082065.5,,,,,0,0
2025-06-12 13:00:00,3.2703,3.3144,3.2782,3.3112,901889.5,,,,,0,0
2025-06-12 14:00:00,3.3088,3.3614,3.3118,3.3473,791685.1,,,,,0,0
2025-06-12 15:00:00,3.2805,3.3612,3.3474,3.2885,714203.4,,,,,0,0
2025-06-12 16:00:00,3.2837,3.3461,3.2885,3.3306,342337.1,,,,,0,0
2025-06-12 17:00:00,3.329,3.3728,3.3307,3.3582,377141.7,,,,,0,0
2025-06-12 18:00:00,3.3156,3.3619,3.3582,3.3304,590694.2,3.33102,0.03355434868671237,3.398128697373425,3.263911302626575,0,0
2025-06-12 19:00:00,3.241,3.3392,3.3303,3.2586,1319609.3,3.3241799999999997,0.03368284898564063,3.391545697971281,3.2568143020287184,0,0
2025-06-12 20:00:00,3.1854,3.275,3.2584,3.2103,2037609,3.315435,0.03925078980097072,3.393936579601941,3.2369334203980586,1,1
2025-06-12 21:00:00,3.2025,3.2492,3.2092,3.2082,571255.8,3.307515,0.04406862202711129,3.3956522440542227,3.2193777559457772,1,1
2025-06-12 22:00:00,3.1908,3.2304,3.2082,3.2091,750144.8,3.3005400000000003,0.04808071503102582,3.396701430062052,3.2043785699379486,0,0
2025-06-12 23:00:00,3.1944,3.2324,3.209,3.209,331731.3,3.29416,0.051395529193234354,3.396951058386469,3.1913689416135314,0,0
2025-06-13 00:00:00,2.958,3.2118,3.2094,2.9951,7210937.8,3.277425,0.08358858443213633,3.4446021688642725,3.1102478311357276,1,1
2025-06-13 01:00:00,2.92,2.995,2.995,2.9794,2758840.3,3.2593399999999995,0.1053757757042059,3.4700915514084114,3.0485884485915875,1,1
2025-06-13 02:00:00,2.9336,2.9886,2.9784,2.964,1911155.1,3.2402300000000004,0.122120355215233,3.4844707104304664,2.9959892895695344,1,1
2025-06-13 03:00:00,2.956,3.0496,2.9626,3.0316,1493203.2,3.22517,0.12850874268845822,3.482187485376916,2.9681525146230836,0,0
2025-06-13 04:00:00,3.0018,3.0459,3.0319,3.0405,871196.1,3.211005,0.13261293687388015,3.4762308737477605,2.9457791262522397,0,0
2025-06-13 05:00:00,2.9885,3.0425,3.0405,2.9975,1085669.6,3.19524,0.1384860030928451,3.47221200618569,2.91826799381431,0,0
2025-06-13 06:00:00,2.9551,3.019,2.9979,3.019,1450866.8,3.1814899999999997,0.14177722294983888,3.4650444458996774,2.897935554100322,0,0
2025-06-13 07:00:00,2.9917,3.0347,3.0185,3.0286,878444.6,3.1697750000000005,0.14435296243291224,3.458480924865825,2.881069075134176,0,0
2025-06-13 08:00:00,3.0224,3.0683,3.028,3.0259,618686.7,3.15715,0.1453906878216862,3.4479313756433725,2.8663686243566278,0,0
2025-06-13 09:00:00,3.0035,3.0286,3.026,3.0168,572116,3.14243,0.14386831369071634,3.430166627381433,2.8546933726185673,0,0
2025-06-13 10:00:00,2.993,3.0255,3.017,3.023,638764.9,3.126215,0.13770621388341583,3.4016274277668317,2.8508025722331687,0,0
